Iteration,Using Garbage Collector,Without Garbage Collector,Difference,,Slope of Column B over a linear regression,Slope of Column C over a linear regression,
1,0.081454039,0.018085003,0.063369036,,2.79184E-05,2.34818E-05,
2,0.078062057,0.016845703,0.061216354,,,,
3,0.073815823,0.017248154,0.056567669,,,,
4,0.081874847,0.016814947,0.0650599,,,,
5,0.080203056,0.021334648,0.058868408,,,,
6,0.078271866,0.018224239,0.060047626,,,,
7,0.081979752,0.018744946,0.063234806,,,,
8,0.080635071,0.020281792,0.060353279,,,,
9,0.078060865,0.021456242,0.056604624,,,,
10,0.081171036,0.020320892,0.060850143,,,,
11,0.073642015,0.025039911,0.048602104,,,,
12,0.081418276,0.030045033,0.051373243,,,,
13,0.082925081,0.02372098,0.059204102,,,,
14,0.078172922,0.032956839,0.045216084,,,,
15,0.073607922,0.02543807,0.048169851,,,,
16,0.080867052,0.021116972,0.05975008,,,,
17,0.081552982,0.018435001,0.063117981,,,,
18,0.08041811,0.019407272,0.061010838,,,,
19,0.079550982,0.021498919,0.058052063,,,,
20,0.082696915,0.024735928,0.057960987,,,,
21,0.076934814,0.036005974,0.040928841,,,,
22,0.084834099,0.02349782,0.061336279,,,,
23,0.079513788,0.024588823,0.054924965,,,,
24,0.079180002,0.027086258,0.052093744,,,,
25,0.079924822,0.026473999,0.053450823,,,,
26,0.076688766,0.033088923,0.043599844,,,,
27,0.083448172,0.021979332,0.06146884,,,,
28,0.084777117,0.033536196,0.051240921,,,,
29,0.079071999,0.019434929,0.05963707,,,,
30,0.076811075,0.019484043,0.057327032,,,,
31,0.081401825,0.019053936,0.062347889,,,,
32,0.073497772,0.019928694,0.053569078,,,,
33,0.077763081,0.01834178,0.059421301,,,,
34,0.077818871,0.018658161,0.059160709,,,,
35,0.076590776,0.019076109,0.057514668,,,,
36,0.078797817,0.019367218,0.059430599,,,,
37,0.085000992,0.018718004,0.066282988,,,,
38,0.074400902,0.018833876,0.055567026,,,,
39,0.075870991,0.020819902,0.055051088,,,,
40,0.077381134,0.021834373,0.055546761,,,,
41,0.076014757,0.02008605,0.055928707,,,,
42,0.078730106,0.021225929,0.057504177,,,,
43,0.084726095,0.018347025,0.06637907,,,,
44,0.07694006,0.02087903,0.056061029,,,,
45,0.083859921,0.018566132,0.065293789,,,,
46,0.083902121,0.019334793,0.064567327,,,,
47,0.083566904,0.018269062,0.065297842,,,,
48,0.083418131,0.019607067,0.063811064,,,,
49,0.086545944,0.017843962,0.068701982,,,,
50,0.082046986,0.021323204,0.060723782,,,,
51,0.084686995,0.019230843,0.065456152,,,,
52,0.080528021,0.019044161,0.06148386,,,,
53,0.084477186,0.017588377,0.066888809,,,,
54,0.093328238,0.017825842,0.075502396,,,,
55,0.095277071,0.018046141,0.07723093,,,,
56,0.090239048,0.017364979,0.072874069,,,,
57,0.089556932,0.01761508,0.071941853,,,,
58,0.08839488,0.017702103,0.070692778,,,,
59,0.090144157,0.017635107,0.07250905,,,,
60,0.08767581,0.017534971,0.070140839,,,,
61,0.090392828,0.017628193,0.072764635,,,,
62,0.08878994,0.022825956,0.065963984,,,,
63,0.088310003,0.019278765,0.069031239,,,,
64,0.079756021,0.018542051,0.06121397,,,,
65,0.079917908,0.018754005,0.061163902,,,,
66,0.076943159,0.017869234,0.059073925,,,,
67,0.081869125,0.018091202,0.063777924,,,,
68,0.077695131,0.018199921,0.059495211,,,,
69,0.077266932,0.017665863,0.059601068,,,,
70,0.086685896,0.017798901,0.068886995,,,,
71,0.11675787,0.017847061,0.098910809,,,,
72,0.102209091,0.01769495,0.084514141,,,,
73,0.07460475,0.018028021,0.056576729,,,,
74,0.078861237,0.021394968,0.057466269,,,,
75,0.08277297,0.018769026,0.064003944,,,,
76,0.082098007,0.018382072,0.063715935,,,,
77,0.078473091,0.018697977,0.059775114,,,,
78,0.077414751,0.018131018,0.059283733,,,,
79,0.078382015,0.018129826,0.06025219,,,,
80,0.075294256,0.017953157,0.057341099,,,,
81,0.080556154,0.020406008,0.060150146,,,,
82,0.079560995,0.018127918,0.061433077,,,,
83,0.081014872,0.018000841,0.06301403,,,,
84,0.083858967,0.019927025,0.063931942,,,,
85,0.086289883,0.020168066,0.066121817,,,,
86,0.084274769,0.018392086,0.065882683,,,,
87,0.082013845,0.01793313,0.064080715,,,,
88,0.074696779,0.018226862,0.056469917,,,,
89,0.078895092,0.020451069,0.058444023,,,,
90,0.084555864,0.018659115,0.065896749,,,,
91,0.077351809,0.022530079,0.05482173,,,,
92,0.078721046,0.020027876,0.058693171,,,,
93,0.083542824,0.018284082,0.065258741,,,,
94,0.080713987,0.018614054,0.062099934,,,,
95,0.075503826,0.020732164,0.054771662,,,,
96,0.088777065,0.020507097,0.068269968,,,,
97,0.079214096,0.018501282,0.060712814,,,,
98,0.080362082,0.018229961,0.06213212,,,,
99,0.082207918,0.018335104,0.063872814,,,,
100,0.075623989,0.018767834,0.056856155,,,,
101,0.078090906,0.018102884,0.059988022,,,,
102,0.089261055,0.018544912,0.070716143,,,,
103,0.076977968,0.018397331,0.058580637,,,,
104,0.08235383,0.018851757,0.063502073,,,,
105,0.083544254,0.021459818,0.062084436,,,,
106,0.078187943,0.020931005,0.057256937,,,,
107,0.078432083,0.021522999,0.056909084,,,,
108,0.08789587,0.018445015,0.069450855,,,,
109,0.078832865,0.018629074,0.060203791,,,,
110,0.07568717,0.018195868,0.057491302,,,,
111,0.086043119,0.018815994,0.067227125,,,,
112,0.087494135,0.018746853,0.068747282,,,,
113,0.078645945,0.018802881,0.059843063,,,,
114,0.085564375,0.01946187,0.066102505,,,,
115,0.084092855,0.019059896,0.065032959,,,,
116,0.094045877,0.018541098,0.07550478,,,,
117,0.084531784,0.020165205,0.064366579,,,,
118,0.079963207,0.021892071,0.058071136,,,,
119,0.081688166,0.018823862,0.062864304,,,,
120,0.082058907,0.018511295,0.063547611,,,,
121,0.080260992,0.018581867,0.061679125,,,,
122,0.082366943,0.01891017,0.063456774,,,,
123,0.084436178,0.019434929,0.065001249,,,,
124,0.080427885,0.01889801,0.061529875,,,,
125,0.091183186,0.018770218,0.072412968,,,,
126,0.080672026,0.018991947,0.061680079,,,,
127,0.084912777,0.018440962,0.066471815,,,,
128,0.080920219,0.020784855,0.060135365,,,,
129,0.086581945,0.021870852,0.064711094,,,,
130,0.085650921,0.019150257,0.066500664,,,,
131,0.083000898,0.019128084,0.063872814,,,,
132,0.083130121,0.021056175,0.062073946,,,,
133,0.081073761,0.021773815,0.059299946,,,,
134,0.084611893,0.020584822,0.064027071,,,,
135,0.085404158,0.021888018,0.06351614,,,,
136,0.085811853,0.020783901,0.065027952,,,,
137,0.082682848,0.020693064,0.061989784,,,,
138,0.089271069,0.022439241,0.066831827,,,,
139,0.082191944,0.02184701,0.060344934,,,,
140,0.082706928,0.022727013,0.059979916,,,,
141,0.084008217,0.021895885,0.062112331,,,,
142,0.080979824,0.021150827,0.059828997,,,,
143,0.081872225,0.021957159,0.059915066,,,,
144,0.088572979,0.019824028,0.068748951,,,,
145,0.084129095,0.019427061,0.064702034,,,,
146,0.083689928,0.019315958,0.06437397,,,,
147,0.082749367,0.019046068,0.063703299,,,,
148,0.079568148,0.021450043,0.058118105,,,,
149,0.085192919,0.020684004,0.064508915,,,,
150,0.082284689,0.019238949,0.06304574,,,,
151,0.083033085,0.019294977,0.063738108,,,,
152,0.080888033,0.019073009,0.061815023,,,,
153,0.08643198,0.019396305,0.067035675,,,,
154,0.081809759,0.019354105,0.062455654,,,,
155,0.0834167,0.019351244,0.064065456,,,,
156,0.085575819,0.021483183,0.064092636,,,,
157,0.080544949,0.019680977,0.060863972,,,,
158,0.084231138,0.02295804,0.061273098,,,,
159,0.087249041,0.024706602,0.062542439,,,,
160,0.08633709,0.019732952,0.066604137,,,,
161,0.082896233,0.020871162,0.06202507,,,,
162,0.082345963,0.020485878,0.061860085,,,,
163,0.079025745,0.021456957,0.057568789,,,,
164,0.084742308,0.020335674,0.064406633,,,,
165,0.082842112,0.020533085,0.062309027,,,,
166,0.079903126,0.022661924,0.057241201,,,,
167,0.087671041,0.022568941,0.0651021,,,,
168,0.086848021,0.023474216,0.063373804,,,,
169,0.07968998,0.020554781,0.059135199,,,,
170,0.08197403,0.020422935,0.061551094,,,,
171,0.081029892,0.019864082,0.06116581,,,,
172,0.079064131,0.019803286,0.059260845,,,,
173,0.081816196,0.020072222,0.061743975,,,,
174,0.085299969,0.019644022,0.065655947,,,,
175,0.087668896,0.019854784,0.067814112,,,,
176,0.089244127,0.020353794,0.068890333,,,,
177,0.086022139,0.020010948,0.06601119,,,,
178,0.080930948,0.021062851,0.059868097,,,,
179,0.083021164,0.023227215,0.059793949,,,,
180,0.083194971,0.021572113,0.061622858,,,,
181,0.084692955,0.020100832,0.064592123,,,,
182,0.087830067,0.020636082,0.067193985,,,,
183,0.084409952,0.02007103,0.064338923,,,,
184,0.083987236,0.020046234,0.063941002,,,,
185,0.083808899,0.021197796,0.062611103,,,,
186,0.08596611,0.020122766,0.065843344,,,,
187,0.080623865,0.020509958,0.060113907,,,,
188,0.087647915,0.021636963,0.066010952,,,,
189,0.084663153,0.021822929,0.062840223,,,,
190,0.085067987,0.021003962,0.064064026,,,,
191,0.082976818,0.024639845,0.058336973,,,,
192,0.087486982,0.023010969,0.064476013,,,,
193,0.083693743,0.022237062,0.06145668,,,,
194,0.080235958,0.023290157,0.056945801,,,,
195,0.087249041,0.020869017,0.066380024,,,,
196,0.08108902,0.022666931,0.058422089,,,,
197,0.079272985,0.021981955,0.057291031,,,,
198,0.085104227,0.023557186,0.061547041,,,,
199,0.085037947,0.020310163,0.064727783,,,,
200,0.083261013,0.021000862,0.062260151,,,,
201,0.081397057,0.020989895,0.060407162,,,,
202,0.079453945,0.023828983,0.055624962,,,,
203,0.085832834,0.02157712,0.064255714,,,,
204,0.085554123,0.02104497,0.064509153,,,,
205,0.084599018,0.020703316,0.063895702,,,,
206,0.079010963,0.020988941,0.058022022,,,,
207,0.081660271,0.023275137,0.058385134,,,,
208,0.082056046,0.022677898,0.059378147,,,,
209,0.078545094,0.022948027,0.055597067,,,,
210,0.08684516,0.022847891,0.063997269,,,,
211,0.085364103,0.020916939,0.064447165,,,,
212,0.080355167,0.021630049,0.058725119,,,,
213,0.085963964,0.024380207,0.061583757,,,,
214,0.088969946,0.020899773,0.068070173,,,,
215,0.077874899,0.023061991,0.054812908,,,,
216,0.083106995,0.022589207,0.060517788,,,,
217,0.082303047,0.024056196,0.058246851,,,,
218,0.082312107,0.021972895,0.060339212,,,,
219,0.08778882,0.022437811,0.065351009,,,,
220,0.079705,0.021149874,0.058555126,,,,
221,0.08061409,0.020958185,0.059655905,,,,
222,0.08491087,0.024044991,0.060865879,,,,
223,0.084756136,0.021076918,0.063679218,,,,
224,0.084347963,0.020782709,0.063565254,,,,
225,0.088993788,0.0244627,0.064531088,,,,
226,0.077820778,0.024459124,0.053361654,,,,
227,0.081976175,0.022330046,0.05964613,,,,
228,0.081226826,0.025639296,0.05558753,,,,
229,0.082853079,0.020902872,0.061950207,,,,
230,0.080671072,0.023443937,0.057227135,,,,
231,0.083658934,0.022011995,0.061646938,,,,
232,0.085139275,0.024158955,0.06098032,,,,
233,0.078088045,0.025366783,0.052721262,,,,
234,0.08381629,0.02310133,0.06071496,,,,
235,0.079318762,0.022615194,0.056703568,,,,
236,0.087745905,0.021384239,0.066361666,,,,
237,0.087558985,0.023350954,0.064208031,,,,
238,0.081090212,0.020762205,0.060328007,,,,
239,0.080630064,0.021906853,0.058723211,,,,
240,0.080310106,0.02147603,0.058834076,,,,
241,0.080342054,0.025909901,0.054432154,,,,
242,0.084321022,0.02328825,0.061032772,,,,
243,0.082654238,0.022160053,0.060494184,,,,
244,0.087027073,0.02398324,0.063043833,,,,
245,0.084266901,0.021583796,0.062683105,,,,
246,0.087488174,0.022327185,0.06516099,,,,
247,0.083663702,0.020899057,0.062764645,,,,
248,0.082862139,0.022599936,0.060262203,,,,
249,0.084857941,0.021076918,0.063781023,,,,
250,0.082943916,0.021496058,0.061447859,,,,
251,0.083757877,0.02733326,0.056424618,,,,
252,0.085276842,0.023929834,0.061347008,,,,
253,0.084139109,0.023248196,0.060890913,,,,
254,0.084280968,0.024603844,0.059677124,,,,
255,0.081910133,0.023712873,0.05819726,,,,
256,0.083861113,0.022495985,0.061365128,,,,
257,0.082834005,0.024760962,0.058073044,,,,
258,0.0848279,0.021604061,0.063223839,,,,
259,0.082821846,0.023633003,0.059188843,,,,
260,0.083516836,0.025053978,0.058462858,,,,
261,0.084028006,0.026662827,0.057365179,,,,
262,0.085477114,0.025854826,0.059622288,,,,
263,0.083884001,0.024893999,0.058990002,,,,
264,0.085472107,0.026057005,0.059415102,,,,
265,0.081104994,0.025679827,0.055425167,,,,
266,0.083830833,0.021109104,0.062721729,,,,
267,0.084619045,0.021911144,0.062707901,,,,
268,0.081295729,0.023121119,0.05817461,,,,
269,0.081535101,0.025245905,0.056289196,,,,
270,0.086256981,0.026693106,0.059563875,,,,
271,0.094212055,0.0248909,0.069321156,,,,
272,0.089532137,0.025374889,0.064157248,,,,
273,0.080747843,0.023105145,0.057642698,,,,
274,0.082798004,0.02717495,0.055623055,,,,
275,0.085347891,0.021924973,0.063422918,,,,
276,0.088171959,0.023821115,0.064350843,,,,
277,0.085126162,0.022917271,0.062208891,,,,
278,0.080193043,0.023532867,0.056660175,,,,
279,0.081910133,0.025975943,0.055934191,,,,
280,0.085398912,0.023098946,0.062299967,,,,
281,0.081721783,0.023288965,0.058432817,,,,
282,0.089925289,0.022594929,0.06733036,,,,
283,0.08476615,0.025020123,0.059746027,,,,
284,0.080295324,0.022124052,0.058171272,,,,
285,0.085423946,0.024009943,0.061414003,,,,
286,0.086134195,0.026671171,0.059463024,,,,
287,0.083255053,0.026043177,0.057211876,,,,
288,0.085796118,0.025440931,0.060355186,,,,
289,0.088743925,0.023110867,0.065633059,,,,
290,0.084692001,0.023962736,0.060729265,,,,
291,0.084039211,0.025410175,0.058629036,,,,
292,0.085900068,0.022572041,0.063328028,,,,
293,0.085204124,0.025768042,0.059436083,,,,
294,0.087669849,0.022936106,0.064733744,,,,
295,0.087813139,0.025440931,0.062372208,,,,
296,0.079746008,0.024755955,0.054990053,,,,
297,0.084323168,0.026346922,0.057976246,,,,
298,0.082778931,0.023821115,0.058957815,,,,
299,0.084293842,0.025887251,0.058406591,,,,
300,0.084485054,0.024956703,0.059528351,,,,
301,0.084684849,0.023873091,0.060811758,,,,
302,0.07940197,0.025443077,0.053958893,,,,
303,0.084326029,0.022937059,0.061388969,,,,
304,0.085763931,0.022609949,0.063153982,,,,
305,0.083244085,0.025533915,0.057710171,,,,
306,0.086590052,0.027874708,0.058715343,,,,
307,0.084390163,0.024411201,0.059978962,,,,
308,0.085619926,0.023052931,0.062566996,,,,
309,0.087310791,0.025254726,0.062056065,,,,
310,0.081825733,0.023258209,0.058567524,,,,
311,0.084043026,0.02327013,0.060772896,,,,
312,0.085970879,0.02558279,0.060388088,,,,
313,0.085807085,0.0245049,0.061302185,,,,
314,0.084421158,0.024339914,0.060081244,,,,
315,0.088246107,0.026189089,0.062057018,,,,
316,0.090193033,0.024105072,0.066087961,,,,
317,0.085058212,0.02542901,0.059629202,,,,
318,0.081443071,0.024981976,0.056461096,,,,
319,0.083700895,0.023509979,0.060190916,,,,
320,0.088562012,0.023099184,0.065462828,,,,
321,0.082803965,0.022798777,0.060005188,,,,
322,0.081439972,0.026678085,0.054761887,,,,
323,0.083352089,0.024888992,0.058463097,,,,
324,0.086689949,0.026608229,0.06008172,,,,
325,0.079576969,0.02605629,0.053520679,,,,
326,0.086378098,0.023338079,0.063040018,,,,
327,0.087491035,0.0256598,0.061831236,,,,
328,0.085748911,0.025225163,0.060523748,,,,
329,0.088950157,0.025635958,0.063314199,,,,
330,0.08769989,0.023458719,0.064241171,,,,
331,0.091794014,0.023847103,0.067946911,,,,
332,0.090453863,0.025761127,0.064692736,,,,
333,0.089231014,0.027140141,0.062090874,,,,
334,0.087572098,0.026599169,0.060972929,,,,
335,0.08590889,0.023883104,0.062025785,,,,
336,0.087635994,0.025427818,0.062208176,,,,
337,0.081974983,0.025614023,0.05636096,,,,
338,0.084252119,0.023471117,0.060781002,,,,
339,0.089128256,0.028136015,0.060992241,,,,
340,0.087665796,0.027021885,0.060643911,,,,
341,0.087707281,0.024991035,0.062716246,,,,
342,0.082574129,0.024713993,0.057860136,,,,
343,0.08465004,0.02526021,0.05938983,,,,
344,0.08698225,0.025712013,0.061270237,,,,
345,0.084848166,0.024073839,0.060774326,,,,
346,0.089692831,0.025125027,0.064567804,,,,
347,0.086896896,0.025822878,0.061074018,,,,
348,0.087021112,0.026950836,0.060070276,,,,
349,0.081957817,0.026019096,0.055938721,,,,
350,0.085011959,0.026215076,0.058796883,,,,
351,0.085405827,0.025970936,0.059434891,,,,
352,0.093648911,0.029046059,0.064602852,,,,
353,0.086066246,0.025538683,0.060527563,,,,
354,0.088213921,0.028438807,0.059775114,,,,
355,0.087711096,0.023550034,0.064161062,,,,
356,0.089681864,0.026896238,0.062785625,,,,
357,0.080387115,0.026017904,0.054369211,,,,
358,0.083724976,0.024150133,0.059574842,,,,
359,0.08438611,0.023823977,0.060562134,,,,
360,0.088207006,0.025374889,0.062832117,,,,
361,0.082991123,0.025997162,0.056993961,,,,
362,0.082181931,0.027647018,0.054534912,,,,
363,0.088830948,0.026385069,0.062445879,,,,
364,0.084547043,0.026813745,0.057733297,,,,
365,0.085767031,0.025432825,0.060334206,,,,
366,0.091950655,0.02559495,0.066355705,,,,
367,0.103738785,0.028131008,0.075607777,,,,
368,0.105225086,0.026662827,0.07856226,,,,
369,0.099880934,0.02660799,0.073272943,,,,
370,0.098833323,0.027675152,0.071158171,,,,
371,0.098190069,0.026178837,0.072011232,,,,
372,0.086447954,0.02891016,0.057537794,,,,
373,0.089468956,0.025619984,0.063848972,,,,
374,0.087304831,0.02442503,0.062879801,,,,
375,0.091769218,0.02782321,0.063946009,,,,
376,0.090381861,0.026062965,0.064318895,,,,
377,0.087635756,0.02618289,0.061452866,,,,
378,0.08693099,0.027093887,0.059837103,,,,
379,0.090128899,0.02678299,0.063345909,,,,
380,0.091524124,0.026056051,0.065468073,,,,
381,0.090596914,0.02742672,0.063170195,,,,
382,0.08951807,0.027766705,0.061751366,,,,
383,0.091063976,0.026504993,0.064558983,,,,
384,0.088236809,0.025585175,0.062651634,,,,
385,0.086278915,0.023876905,0.06240201,,,,
386,0.086359024,0.027416945,0.05894208,,,,
387,0.087154865,0.024572134,0.062582731,,,,
388,0.08812809,0.029584885,0.058543205,,,,
389,0.085771084,0.027153969,0.058617115,,,,
390,0.089409113,0.026923895,0.062485218,,,,
391,0.083228111,0.025714159,0.057513952,,,,
392,0.087534666,0.026075125,0.061459541,,,,
393,0.085939884,0.026891947,0.059047937,,,,
394,0.091771841,0.025422812,0.06634903,,,,
395,0.100466013,0.026715994,0.073750019,,,,
396,0.087150097,0.02863121,0.058518887,,,,
397,0.085272074,0.028308868,0.056963205,,,,
398,0.088721991,0.027791977,0.060930014,,,,
399,0.088916779,0.027145863,0.061770916,,,,
400,0.082385063,0.028446913,0.05393815,,,,
401,0.085945129,0.026148796,0.059796333,,,,
402,0.092517853,0.027170181,0.065347672,,,,
403,0.085699081,0.024823904,0.060875177,,,,
404,0.095275164,0.028999805,0.066275358,,,,
405,0.085898161,0.026951313,0.058946848,,,,
406,0.088265896,0.028782845,0.059483051,,,,
407,0.090402126,0.02670908,0.063693047,,,,
408,0.086335897,0.027308226,0.059027672,,,,
409,0.087001801,0.025889158,0.061112642,,,,
410,0.088397026,0.030089855,0.058307171,,,,
411,0.087654829,0.027788162,0.059866667,,,,
412,0.087656736,0.028761148,0.058895588,,,,
413,0.089245081,0.025901079,0.063344002,,,,
414,0.083571911,0.02698493,0.056586981,,,,
415,0.083580971,0.027137041,0.05644393,,,,
416,0.089941978,0.026767731,0.063174248,,,,
417,0.09055686,0.028352022,0.062204838,,,,
418,0.093634129,0.027332067,0.066302061,,,,
419,0.089648962,0.027842999,0.061805964,,,,
420,0.087649107,0.028785944,0.058863163,,,,
421,0.08967495,0.03178978,0.05788517,,,,
422,0.093050957,0.027846813,0.065204144,,,,
423,0.092871904,0.026411057,0.066460848,,,,
424,0.10897994,0.028838158,0.080141783,,,,
425,0.091340065,0.027344704,0.063995361,,,,
426,0.091536045,0.030076027,0.061460018,,,,
427,0.08588624,0.029040098,0.056846142,,,,
428,0.093406916,0.028033972,0.065372944,,,,
429,0.087920189,0.030259848,0.057660341,,,,
430,0.088551998,0.026300192,0.062251806,,,,
431,0.092275858,0.029107094,0.063168764,,,,
432,0.087704897,0.026809216,0.060895681,,,,
433,0.089329958,0.02862072,0.060709238,,,,
434,0.090904951,0.028548002,0.062356949,,,,
435,0.092212915,0.028740644,0.063472271,,,,
436,0.084494114,0.028363705,0.056130409,,,,
437,0.091094971,0.026825905,0.064269066,,,,
438,0.089198112,0.028164148,0.061033964,,,,
439,0.086618185,0.028055191,0.058562994,,,,
440,0.087140799,0.029205084,0.057935715,,,,
441,0.084795713,0.029344797,0.055450916,,,,
442,0.089834929,0.027850151,0.061984777,,,,
443,0.085930347,0.030551195,0.055379152,,,,
444,0.087196827,0.026027203,0.061169624,,,,
445,0.092496157,0.02947998,0.063016176,,,,
446,0.090836048,0.02898407,0.061851978,,,,
447,0.08667016,0.026081085,0.060589075,,,,
448,0.085959911,0.028378963,0.057580948,,,,
449,0.092414856,0.028091669,0.064323187,,,,
450,0.085055113,0.026320934,0.058734179,,,,
451,0.084465027,0.029036045,0.055428982,,,,
452,0.091699362,0.027486086,0.064213276,,,,
453,0.090299845,0.026796818,0.063503027,,,,
454,0.087528944,0.04103899,0.046489954,,,,
455,0.090877771,0.04449892,0.046378851,,,,
456,0.084501982,0.04194808,0.042553902,,,,
457,0.088690758,0.053744078,0.03494668,,,,
458,0.096348047,0.042597055,0.053750992,,,,
459,0.087010145,0.048393965,0.03861618,,,,
460,0.092168093,0.037580013,0.054588079,,,,
461,0.088645697,0.037946939,0.050698757,,,,
462,0.09148407,0.031545162,0.059938908,,,,
463,0.089370966,0.035475969,0.053894997,,,,
464,0.085336208,0.036158085,0.049178123,,,,
465,0.092538834,0.031770945,0.060767889,,,,
466,0.088986158,0.034088135,0.054898024,,,,
467,0.091427803,0.037154198,0.054273605,,,,
468,0.08677578,0.030390024,0.056385756,,,,
469,0.088764191,0.031450987,0.057313204,,,,
470,0.093485832,0.036249161,0.057236671,,,,
471,0.08494091,0.030554056,0.054386854,,,,
472,0.08682394,0.031435966,0.055387974,,,,
473,0.090472221,0.033268929,0.057203293,,,,
474,0.085997105,0.031811953,0.054185152,,,,
475,0.090775013,0.03873992,0.052035093,,,,
476,0.089514017,0.029490948,0.060023069,,,,
477,0.089843988,0.028759003,0.061084986,,,,
478,0.091747046,0.02893281,0.062814236,,,,
479,0.088083029,0.027183771,0.060899258,,,,
480,0.089094162,0.028581142,0.06051302,,,,
481,0.084675074,0.030265093,0.054409981,,,,
482,0.090743065,0.026365042,0.064378023,,,,
483,0.084814072,0.029696941,0.05511713,,,,
484,0.093613863,0.029154062,0.064459801,,,,
485,0.088481903,0.026717186,0.061764717,,,,
486,0.088923931,0.0271101,0.061813831,,,,
487,0.091198921,0.029016018,0.062182903,,,,
488,0.090838194,0.029431105,0.061407089,,,,
489,0.093828201,0.031244993,0.062583208,,,,
490,0.091975927,0.030080795,0.061895132,,,,
491,0.086947203,0.027467012,0.05948019,,,,
492,0.087965965,0.029025078,0.058940887,,,,
493,0.085459232,0.029109001,0.056350231,,,,
494,0.091670036,0.026808262,0.064861774,,,,
495,0.085602045,0.029778719,0.055823326,,,,
496,0.090499163,0.029359102,0.06114006,,,,
497,0.091197014,0.030078888,0.061118126,,,,
498,0.090500116,0.02700901,0.063491106,,,,
